gene,GSM1377859,GSM1377860,GSM1377861,GSM1377862,GSM1377863,GSM1377864,GSM1377865,GSM1377866,GSM1377867,GSM1377868,GSM1377869,GSM1377870,GSM1377871,GSM1377872,GSM1377873,GSM1377874,GSM1377875,GSM1377876,GSM1377877,GSM1377878,GSM1377879,GSM1377880,GSM1377881,GSM1377882,GSM1377883,GSM1377884,GSM1377885,GSM1377886,GSM1377887,GSM1377888,GSM1377889,GSM1377890,GSM1377891,GSM1377892,GSM1377893,GSM1377894,GSM1377895,GSM1377896,GSM1377897,GSM1377898,GSM1377899,GSM1377900,GSM1377901,GSM1377902,GSM1377903,GSM1377904,GSM1377905,GSM1377906,GSM1377907,GSM1377908,GSM1377909,GSM1377910,GSM1377911,GSM1377912,GSM1377913,GSM1377914
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22123,0,0,0.538904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,0,0,0,0,0,0,0,0,0,0,0,0.0335333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000125,0,0.357634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,0,0,0.171412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000127,33.6602,24.5433,31.358,21.5908,34.4219,34.3133,0.0748699,26.618,31.3003,8.11512,2.08714,0.0378096,0,0,4.16265,13.5285,5.70438,5.86458,5.26638,13.8183,31.4762,10.4269,0,18.9178,30.6634,0,12.0108,0,8.41011,7.40908,2.94994,0.138709,0.0744544,8.62634,0.232907,0.148689,2.94678,9.4598,23.4405,0,8.71517,0,0,0,0,18.0785,0.0708772,0,0,10.8082,5.04854,0.0529593,7.05516,0,0,0.216178
ENSMUSG00000000131,58.3681,38.6106,94.6443,37.3716,27.3327,44.0013,47.4016,81.4546,7.75365,161.841,74.5178,94.4709,117.279,137.217,71.3069,76.1843,93.1137,37.8339,63.5445,89.912,62.3013,126.683,45.1283,0.0455276,35.5853,44.4464,104.85,159.745,96.434,106.468,60.5065,32.2919,107.934,118.065,66.9834,102.965,22.7187,121.153,70.1901,29.0973,41.1806,49.1474,32.8856,36.5716,67.3067,48.2176,90.2944,150.985,17.5039,0,90.6327,0.986039,147.343,0,0.471427,0
ENSMUSG00000000134,44.1552,36.2227,38.6066,30.6724,25.3271,21.3092,7.05057,28.359,28.0832,15.3773,18.1599,17.9764,11.9132,1.21797,14.569,1.17886,5.41624,4.78815,28.3265,19.1891,0.69495,56.9231,10.5411,0.0316456,1.00423,0.09229,23.9062,31.8209,1.99793,5.25739,0,0.0278834,0.872893,13.2789,10.4787,11.5049,0.184749,0,1.98714,0,3.88415,0.0718524,13.9975,2.14732,0.474313,0.344138,0.276021,0.677705,5.56429,10.4816,12.924,31.6791,24.0099,0,139.511,0.605946
ENSMUSG00000000142,42.2582,22.4616,55.7151,25.5221,22.3445,36.9524,10.7098,15.3047,17.937,26.266,14.6631,15.6986,6.00535,7.91725,8.34593,16.6243,13.0207,7.68462,13.9542,18.9435,27.1144,8.67408,1.52353,12.9883,0.648988,1.61326,3.70009,0.0733411,15.3608,0.900191,1.58696,2.00334,5.51725,7.24509,1.03839,5.48114,0.786534,0.90359,7.20988,9.89956,6.77522,0,1.36889,0,0,7.09354,0.0961671,0,4.12545,1.62434,11.1712,6.71512,3.04977,0,0.331933,0
ENSMUSG00000000148,0,0,0.0646643,3.53965,0.38548,1.16735,31.5711,0,0.2566,9.38536,8.23825,49.1114,6.06166,1.9849,37.1657,27.5072,3.0878,3.30189,17.7792,0.128844,2.1623,19.0138,14.5429,1.35303,2.40563,0.238845,4.0705,3.17652,14.5058,6.79907,0.160121,12.8121,4.05252,4.60175,17.5646,0.331887,0.840162,1.3162,7.24039,0.936957,2.33616,0.785852,3.39042,0.0835556,0.261571,0.735601,25.7057,0.137684,1.32743,0.186144,16.8141,5.49237,13.8189,0,0,0
ENSMUSG00000000149,22.7067,23.0874,36.1353,27.2413,21.2061,9.89215,10.0802,22.41,25.8171,12.6931,16.8351,45.7447,21.3425,9.20677,41.3327,28.8174,37.8003,38.4982,33.1689,59.3453,9.95438,47.1195,30.8119,57.5236,35.802,8.30371,14.616,30.161,16.5257,0.335887,0.450112,3.99321,13.6206,20.3128,4.00379,9.92355,16.8211,8.1485,4.10336,45.617,6.25369,5.67941,10.4513,0.181964,15.0875,0.0715338,0.238318,13.8762,18.12,0,7.6369,81.2493,15.2567,0,0,0
ENSMUSG00000000154,0,0,0,0,0,0,0,0,0,0,0,1.42897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148381,0,0,68.0726,3.85155,0,4.27434,3.2551,1.42879,0.803181
ENSMUSG00000000159,0,0,0,1.97E-06,0,7.06E-07,0,4.79E-07,6.83E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05E-07,0,0,2.26E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25E-07
ENSMUSG00000000167,1.56295,1.45089,2.97128,2.84753,2.76702,1.58146,0,5.12221,2.94E-134,4.5954,0.116693,23.8439,3.38094,0,0,14.9422,0,45.6322,0,0,0,0.936109,0,0,0,29.5857,0.126021,0.18153,9.18031,1.86479,20.2604,16.1191,19.4814,12.5855,0.733164,7.33105,0,23.3866,0.593181,0,0.499374,0,0,0,11.3034,0,44.2951,3.58126,0,1.82115,0.361456,0,17.7847,3.19741,285.891,4.55582
ENSMUSG00000000168,61.6011,88.442,96.0253,70.8002,106.256,80.8902,18.8278,94.8726,86.0774,3.9484,2.71875,10.9447,1.17054,12.0647,0.039247,0,10.5109,32.3464,9.297,2.09776,87.4193,35.8401,0.0752796,18.2928,1.78792,23.5351,0,3.15023,0.0605918,12.2738,0.0982347,8.34354,6.26926,9.39753,1.35244,22.4899,1.96724,0.63937,0.61403,1.87849,36.679,0,1.68068,0.100799,0.0915095,0.503552,31.3023,0.525523,1.32727,141.867,49.0824,46.0522,12.1986,11.6657,0,155.761
ENSMUSG00000000171,71.5949,83.3664,90.5728,109.208,55.9817,92.1953,0.16563,94.5922,82.9904,7.55155,62.9134,64.85,50.2418,82.384,43.9731,0,14.0086,47.945,83.2027,0.269803,0,21.4636,9.37002,22.1286,88.6792,0.937227,33.5801,76.5863,44.1206,42.2012,83.3958,58.3886,59.0511,32.7799,23.0204,46.6524,64.226,74.4032,68.2029,41.1531,104.628,79.9223,56.6501,99.321,39.6917,100.399,124.99,50.3593,64.0818,127.498,145.368,129.181,113.941,2.4933,0,2.25604
ENSMUSG00000000182,0,0,0,0,0,0,0,0,0,0,0,0.517967,0,2.74474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000183,0,0,0,2.76218,0,3.51889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,0.671888,0,0,0.447044,0,0,0,0,0,0.0377745,0.104378,5.77412,0.783552,0.181666,5.36371,0.286609,0.0524867,7.52307,0.0316842,0,0,0,0.369636,0,0.0582068,0,0,0,0,0,3.36109,0,0.150038,0,0,0,0,0,0,0,0,0,0,0,0.0315883,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000194,17.5377,25.42,4.15328,7.44538,4.05259,6.33426,0,13.0421,0,99.2976,49.8946,44.4898,78.7847,67.8066,148.268,26.0636,0.855625,59.9963,3.53933,73.5039,0.0890537,95.0686,162.032,0.896069,136.601,1.93518,24.1419,86.9332,75.556,120.347,103.131,83.8381,109.218,54.506,171.229,62.0707,60.5206,39.1062,74.7283,56.0891,114.527,17.5727,109.995,7.37669,80.5662,119.939,77.6125,53.0645,56.8254,57.9128,92.2166,0.080503,81.917,0,0,0
ENSMUSG00000000197,0.0303637,0.0982517,0.11581,0.0309531,0.167208,0,0,0,0,0.379436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370302,0,0,0,0,0,0,0.0517227,0.033943,0,0,0,0,0,0.0267675,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000202,0.108054,1.24983,0.0583801,0,0.341883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000214,91.6816,91.4021,50.3412,96.1849,99.2854,98.7354,35.0789,118.461,83.3209,48.8742,17.0814,15.1409,20.3706,24.7881,4.21567,73.2798,29.4441,45.5998,36.4941,83.7739,58.9907,32.8514,35.1047,38.3497,1.12723,0.304943,3.21474,67.4564,42.0993,5.423,0.612678,0,0,0.0930692,0,0,0,0,0,0,2.20674,0,0,0,0,0.270365,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,6.92478,2.90211,20.699,9.0245,6.62772,0,0,2.42093,5.60098,0,0,0,0,0,12.8369,34.4328,0,0,0,0,0,4.08322,0,0,0,0,24.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000223,0,0,0,0,0,0,0,0,0,0,0,0.0410063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40478
ENSMUSG00000000247,3.95078,9.2783,4.45602,0.277127,6.34323,3.44359,15.4526,2.17862,3.74712,0.147663,0,0.118357,0.351266,4.08967,0,0,0.107066,0,0,2.46117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271828,0,0,0,0,0.111909,0,0.382403,0,0,0
ENSMUSG00000000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807649,0,0,0,14.7354,0,0,0,0,0,0.994571,0.36034,0.0824896,29.608,0.0803278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2133,0.310945,15.3618,0,0,0
ENSMUSG00000000253,60.2539,76.3642,48.2755,68.8041,50.5785,64.8401,0,54.9715,34.258,15.1001,0,0,0,0,0,0,0,7.61254,18.8484,29.0773,0,0,43.8106,0,31.3262,0,0,0,0,0,0,0,0,0,0.319664,1.524,0,0,0,0,0,0,0,0,0,0,4.91818,0,0,0,0.458587,0,25.4347,0,0,0
ENSMUSG00000000263,0,0,0,0,0,0,0,0,0,0,0.448536,0.068189,0,0,0,0,0.0931075,0,0.898307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,0,0,0,0,0,0,0.0778229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000275,0,0,0,0,0.564797,0,0,0,0,6.59448,9.7537,1.54774,0.16964,0.659332,4.48094,0,6.99793,1.31337,0.226238,19.6023,0.154213,12.7824,8.3514,0.379206,10.3524,3.1838,3.53918,0.0215473,9.51955,5.88784,5.55936,8.91995,5.35234,0,0.53061,0,2.83374,1.67002,1.9002,4.70847,10.0742,0.163537,6.68171,0.188905,4.77291,2.41617,11.142,0.360212,0.494169,19.0044,34.6832,1.96664,19.2392,3.97698,2.0501,1.32982
ENSMUSG00000000276,0.492252,1.43391,5.64662,0,2.04765,1.58929,0,0.809526,1.77019,15.3961,9.32512,23.0446,26.422,22.122,19.9103,23.2667,26.549,20.1569,20.4657,31.8968,19.4469,30.7627,16.7708,17.7084,35.5685,27.8956,13.5408,27.1133,28.6968,8.56272,1.06426,6.99493,1.37012,17.1582,20.0705,16.8764,11.0801,31.5372,2.97492,13.0162,7.28245,13.1098,0.366333,11.106,17.5201,11.0524,13.3721,7.21284,5.25561,0,1.85626,0.150422,3.2322,0,0.0325363,0
ENSMUSG00000000278,67.0967,56.2666,72.3929,65.5708,71.2128,70.6944,29.4149,79.3662,73.5676,66.2576,96.9591,32.1662,77.959,51.1166,78.324,74.0116,58.0533,54.599,47.5656,25.045,46.5593,68.0949,45.5028,104.935,112.045,75.2025,65.8274,89.896,89.6699,130.268,70.34,78.8901,108.892,86.6579,106.635,106.092,102.992,99.3363,57.4797,80.5246,119.702,91.9162,98.8567,70.1718,93.34,126.393,104.285,95.6127,79.5529,40.7748,81.2765,141.961,100.94,4.31293,0.152853,195.558
ENSMUSG00000000282,3.87402,4.92055,6.61964,10.9746,2.37026,0,0,1.25543,0,0.109952,0.336027,3.31204,0.201248,0.493528,1.35893,0.0373754,0,3.4312,3.74925,1.01027,0,0.0314867,0.775306,0,0.382561,13.3104,1.18522,0,0.0787102,2.03917,0.622233,0.312865,1.82408,2.33362,0.906462,0.3327,1.87964,0.723937,1.12663,5.79844,0.432538,0,0.907461,0.267808,0,9.77604,1.49305,6.84798,2.59498,0,6.26109,0,1.65325,0,0,0
ENSMUSG00000000290,0,0,0,0.105825,0,0,0,0,0,0,0,0.329363,0,0,0,0,0,0,2.41225,0,0,0,0,0,0,0,0,8.26083,0.372272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000295,5.33201,19.0922,4.57491,12.7664,10.0067,1.92846,0,17.1155,0.386223,0.5132,0,0,19.582,12.3962,0.447343,0,7.53833,13.9498,0,0,5.13946,0,0,0.889885,26.3247,0,0,0,0,23.8651,0.0621685,11.4226,14.843,16.2229,42.194,26.656,0.252317,0,58.5253,0.508471,0.617677,22.2176,23.7454,0.2877,0,27.0798,0.819341,24.9849,22.6808,57.554,32.5206,101.23,33.8246,0,0,0
ENSMUSG00000000296,20.7624,16.5986,23.5481,18.9306,19.9891,10.1075,0,22.0191,7.9605,1.62981,0,0,0,0.18284,8.54497,16.293,13.3061,0,7.33913,0.299471,0,0.245314,31.41,0,0,2.93337,0.116314,0,0,0,0,0,0,0.398289,0.230885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7951,1.18477,0,0,0.864,0,0
ENSMUSG00000000301,31.4172,54.0199,57.8849,51.8145,10.5604,27.6754,68.3263,17.7719,19.7175,100.238,110.085,124.152,138.396,145.046,216.132,164.292,83.834,235.129,162.563,269.046,209.431,187.042,187.478,353.547,265.489,262.81,130.139,268.252,404.423,353.104,283.924,400.457,311.243,325.124,332.074,306.446,333.56,311.986,281.122,227.469,261.73,405.546,351.983,332.922,307.311,363.334,375.858,474.393,319.198,323.283,264.05,327.537,345.588,12.2044,521.114,928.058
ENSMUSG00000000303,18.8514,28.0181,24.7779,18.6569,33.7013,29.9209,16.5991,28.949,22.2414,10.0552,13.979,5.68719,1.05782,1.76372,1.37006,2.44627,14.2492,4.62501,0.626771,13.7383,9.68595,10.3142,5.05485,0,0,0,10.793,0.0609634,33.9694,5.4182,37.9318,24.597,10.9445,5.38903,12.0959,1.93592,20.4206,5.60299,0.0540221,3.20703,1.68905,7.80264,12.8948,2.73455,18.1266,7.01417,13.5825,0.762438,28.2686,17.6949,69.241,9.67909,87.962,1.55229,275.661,0.91885
ENSMUSG00000000305,8.03318,8.80948,8.54217,10.043,9.08669,4.87271,1.0688,11.4294,6.83406,0.06838,0.308127,3.90931,0.0211172,0.821548,7.02015,21.5216,8.44121,1.8078,2.06249,1.61952,1.1533,57.8838,0.0286959,0.239696,0,0.109559,6.92153,4.91458,0.183597,0.0344105,0.0508128,0.32498,2.33028,0.568518,0.0313323,0,0.0497426,6.11192,0.0692718,0.0308848,0.155427,0.0288343,0,0,0.162252,0.402761,0.328781,13.8838,6.22971,4.83024,0,0,0.139299,0,0,0
ENSMUSG00000000308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85438,0,0,0,0,0,0,0,0,0,0,0,0,61.5316,63.682,56.2999,133.254,0.622086,4.5156,32.2304,0.412891,35.0129,40.5967,57.7107,79.5253,104.977,36.473,23.1109,133.372,45.6731,41.8688,151.117,11.688,12.1338,164.691,331.877,184.01,0,0,9.40338
ENSMUSG00000000317,0,0,0,0,0.533471,0,0,0,0,0,0,0,1.45249,0,0,0,0.360753,3.98732,0.493552,0,0,0,0.390863,0,0,0,0,0,0,0.244873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000318,71.4863,78.9049,122.708,89.2987,74.5531,28.0049,18.3518,41.6545,66.0821,0.947872,0,15.915,0,27.7192,25.4306,56.1271,29.5006,30.3298,31.8382,17.7765,22.5138,86.0096,6.66079,36.4384,66.4876,44.6818,0,0,79.8078,0,17.3646,15.5482,1.38592,1.12291,0.18181,19.9106,47.9428,12.9598,2.81697,23.8504,48.2704,0,0,0.834409,0,0,0,15.9631,0,0,3.06082,0,11.3622,0,0,0
ENSMUSG00000000320,18.5535,26.205,32.984,20.0578,19.0605,17.5522,0,19.9488,12.0732,26.7796,23.402,23.6071,37.1734,43.9126,28.6522,33.1108,26.554,35.171,34.2794,38.0689,37.4367,29.399,58.7537,48.2454,49.5033,34.3675,15.8511,25.1175,35.3373,17.491,12.643,13.4277,10.6143,13.1248,19.1353,12.675,7.75048,25.2242,35.4514,38.9878,11.6672,12.8477,22.4247,24.6363,13.9352,26.2796,34.5931,26.586,22.5187,22.9086,17.5266,56.819,12.1614,0.315143,0,0
ENSMUSG00000000325,0.886317,4.71009,18.0791,0.645304,2.27145,0,0,0,0,0.0669025,0,1.24E-30,0.364589,0,0,0,0,0,0.151539,9.93725,0,0.103589,0,0,0.232251,0.231857,26.1313,34.3479,6.84391,1.52491,39.8711,1.91628,3.12423,0.494181,2.46794,0.203205,3.35636,14.5588,0.087757,0.158224,0.275084,0,0.663154,0.0804735,0.149116,0.0928032,0.151573,0.0792088,4.72328,0,25.4266,161.92,62.4272,2.20E-12,0,2.08E-44
ENSMUSG00000000326,4.21162,6.18779,3.80838,6.10626,5.1797,7.81884,2.84624,4.47058,5.80132,12.1658,6.97296,19.109,20.83,7.31327,15.4986,7.25561,6.76716,8.02165,8.8575,4.49727,4.76007,3.06329,5.17819,5.67827,4.78296,6.73506,3.2061,11.1439,5.46955,67.6351,34.4845,24.2657,21.1242,11.3189,19.1772,56.2147,26.5661,15.1891,13.5192,71.8802,42.2277,10.9799,52.7628,23.4875,61.6489,57.8523,14.7175,35.8348,23.9668,3.74918,67.9378,179.514,81.5554,26.0395,6.52546,314.756
ENSMUSG00000000339,18.0845,12.8281,16.6999,28.0879,12.4698,12.6915,0,15.8257,0.604254,10.0216,15.2033,0.0989429,8.38303,7.22235,0,31.4505,12.7417,12.8998,13.8754,9.42015,4.61127,1.1357,22.4812,0,40.0061,0.371064,42.0052,26.0682,52.0267,9.55288,0,2.02926,14.602,0,10.0606,36.2803,0.359507,0.572952,1.60309,17.4997,0.687332,0,18.2112,0.490498,6.89524,2.04981,30.029,0,0,4.33543,41.5461,0.290699,36.7298,0,0,0
ENSMUSG00000000340,4.5984,2.19843,2.18317,1.99307,2.60437,2.12708,0,1.10176,1.09414,50.4115,11.7304,19.5444,18.5576,43.8731,41.6873,16.8185,27.1781,28.0707,31.0028,10.832,15.2322,11.3908,25.5559,16.1771,30.8446,0.170325,4.03725,20.1396,21.5248,34.4978,24.4575,17.5402,12.3338,34.7214,14.4139,25.2585,34.5453,40.2276,7.75796,25.9315,6.10185,3.20886,16.9254,7.22382,7.11704,30.6318,7.36811,25.0167,28.6937,0.169138,28.0761,57.3613,29.0774,0,39.6519,0.159469
ENSMUSG00000000346,192.189,177.661,125.066,165.512,207.22,219.268,44.1563,200.022,239.89,73.6025,96.3063,52.4893,91.5196,102.865,86.3698,108.625,108.824,87.5021,94.1507,54.8711,90.3976,79.2703,70.204,144.419,74.3657,83.9552,72.3704,103.806,117.644,122.405,80.6828,75.0765,87.3178,82.9794,111.293,88.6272,102.124,66.8482,77.0216,118.04,105.651,91.7924,89.8055,131.036,96.4427,132.424,122.324,112.111,107.244,84.7724,86.8505,156.07,65.0951,1.04107,183.503,0.573841
ENSMUSG00000000355,5.01356,7.91907,0.982464,19.3238,9.23182,0,0,3.25904,8.82861,53.2007,24.1238,77.6868,131.799,85.8925,139.034,51.732,25.4902,46.865,112.573,61.9038,144.987,50.0098,259.609,195.754,23.0848,48.0845,165.341,143.091,170.778,107.982,108.733,120.101,73.7632,187.815,133.097,162.247,173.226,152.222,189.357,190.437,124.212,110.317,231.944,157.843,163.662,227.727,170.175,193.299,155.616,257.035,142.565,167.954,105.993,8.36158,2.60605,1249.27
